日本語	英語	フランス語	ドイツ語	イタリア語	スペイン語	韓国語	中国語(簡)	中国語(繁)
マッスグマ	Linoone	Lineon	Geradaks	Linoone	Linoone	직구리	直冲熊	直衝熊
ケムッソ	Wurmple	Chenipotte	Waumpel	Wurmple	Wurmple	개무소	刺尾虫	刺尾蟲
カラサリス	Silcoon	Armulys	Schaloko	Silcoon	Silcoon	실쿤	甲壳茧	甲殼繭
アゲハント	Beautifly	Charmillon	Papinella	Beautifly	Beautifly	뷰티플라이	狩猎凤蝶	狩獵鳳蝶
マユルド	Cascoon	Blindalys	Panekon	Cascoon	Cascoon	카스쿤	盾甲茧	盾甲繭
ドクケイル	Dustox	Papinox	Pudox	Dustox	Dustox	독케일	毒粉蛾	毒粉蛾
ハスボー	Lotad	Nenupiot	Loturzel	Lotad	Lotad	연꽃몬	莲叶童子	蓮葉童子
ハスブレロ	Lombre	Lombre	Lombrero	Lombre	Lombre	로토스	莲帽小童	蓮帽小童
ルンパッパ	Ludicolo	Ludicolo	Kappalores	Ludicolo	Ludicolo	로파파	乐天河童	樂天河童
タネボー	Seedot	Grainipiot	Samurzel	Seedot	Seedot	도토링	橡实果	橡實果
コノハナ	Nuzleaf	Pifeuil	Blanas	Nuzleaf	Nuzleaf	잎새코	长鼻叶	長鼻葉
ダーテング	Shiftry	Tengalice	Tengulist	Shiftry	Shiftry	다탱구	狡猾天狗	狡猾天狗
スバメ	Taillow	Nirondelle	Schwalbini	Taillow	Taillow	테일로	傲骨燕	傲骨燕
オオスバメ	Swellow	Heledelle	Schwalboss	Swellow	Swellow	스왈로	大王燕	大王燕
キャモメ	Wingull	Goelise	Wingull	Wingull	Wingull	갈모매	长翅鸥	長翅鷗
ペリッパー	Pelipper	Bekipan	Pelipper	Pelipper	Pelipper	패리퍼	大嘴鸥	大嘴鷗
ラルトス	Ralts	Tarsal	Trasla	Ralts	Ralts	랄토스	拉鲁拉丝	拉魯拉絲
キルリア	Kirlia	Kirlia	Kirlia	Kirlia	Kirlia	킬리아	奇鲁莉安	奇魯莉安
サーナイト	Gardevoir	Gardevoir	Guardevoir	Gardevoir	Gardevoir	가디안	沙奈朵	沙奈朵
アメタマ	Surskit	Arakdo	Gehweiher	Surskit	Surskit	비구술	溜溜糖球	溜溜糖球
アメモース	Masquerain	Maskadra	Maskeregen	Masquerain	Masquerain	비나방	雨翅蛾	雨翅蛾
キノココ	Shroomish	Balignon	Knilz	Shroomish	Shroomish	버섯꼬	蘑蘑菇	蘑蘑菇
キノガッサ	Breloom	Chapignon	Kapilz	Breloom	Breloom	버섯모	斗笠菇	斗笠菇
ナマケロ	Slakoth	Parecool	Bummelz	Slakoth	Slakoth	게을로	懒人獭	懶人獺
ヤルキモノ	Vigoroth	Vigoroth	Muntier	Vigoroth	Vigoroth	발바로	过动猿	過動猿
ケッキング	Slaking	Monaflemit	Letarking	Slaking	Slaking	게을킹	请假王	請假王
ツチニン	Nincada	Ningale	Nincada	Nincada	Nincada	토중몬	土居忍士	土居忍士
テッカニン	Ninjask	Ninjask	Ninjask	Ninjask	Ninjask	아이스크	铁面忍者	鐵面忍者
ヌケニン	Shedinja	Munja	Ninjatom	Shedinja	Shedinja	껍질몬	脱壳忍者	脫殼忍者
ゴニョニョ	Whismur	Chuchmur	Flurmel	Whismur	Whismur	소곤룡	咕妞妞	咕妞妞
ドゴーム	Loudred	Ramboum	Krakeelo	Loudred	Loudred	노공룡	吼爆弹	吼爆彈
バクオング	Exploud	Brouhabam	Krawumms	Exploud	Exploud	폭음룡	爆音怪	爆音怪
マクノシタ	Makuhita	Makuhita	Makuhita	Makuhita	Makuhita	마크탕	幕下力士	幕下力士
ハリテヤマ	Hariyama	Hariyama	Hariyama	Hariyama	Hariyama	하리뭉	铁掌力士	鐵掌力士
ルリリ	Azurill	Azurill	Azurill	Azurill	Azurill	루리리	露力丽	露力麗
ノズパス	Nosepass	Tarinor	Nasgnet	Nosepass	Nosepass	코코파스	朝北鼻	朝北鼻
エネコ	Skitty	Skitty	Eneco	Skitty	Skitty	에나비	向尾喵	向尾喵
エネコロロ	Delcatty	Delcatty	Enekoro	Delcatty	Delcatty	델케티	优雅猫	優雅貓
ヤミラミ	Sableye	Tenefix	Zobiris	Sableye	Sableye	깜까미	勾魂眼	勾魂眼
クチート	Mawile	Mysdibule	Flunkifer	Mawile	Mawile	입치트	大嘴娃	大嘴娃
ココドラ	Aron	Galekid	Stollunior	Aron	Aron	가보리	可可多拉	可可多拉
コドラ	Lairon	Galegon	Stollrak	Lairon	Lairon	갱도라	可多拉	可多拉
ボスゴドラ	Aggron	Galeking	Stolloss	Aggron	Aggron	보스로라	波士可多拉	波士可多拉
アサナン	Meditite	Meditikka	Meditie	Meditite	Meditite	요가랑	玛沙那	瑪沙那
チャーレム	Medicham	Charmina	Meditalis	Medicham	Medicham	요가램	恰雷姆	恰雷姆
ラクライ	Electrike	Dynavolt	Frizelbliz	Electrike	Electrike	썬더라이	落雷兽	落雷獸
ライボルト	Manectric	Elecsprint	Voltenso	Manectric	Manectric	썬더볼트	雷电兽	雷電獸
プラスル	Plusle	Posipi	Plusle	Plusle	Plusle	플러시	正电拍拍	正電拍拍
マイナン	Minun	Negapi	Minun	Minun	Minun	마이농	负电拍拍	負電拍拍
バルビート	Volbeat	Muciole	Volbeat	Volbeat	Volbeat	볼비트	电萤虫	電螢蟲
イルミーゼ	Illumise	Lumivole	Illumise	Illumise	Illumise	네오비트	甜甜萤	甜甜螢
ロゼリア	Roselia	Roselia	Roselia	Roselia	Roselia	로젤리아	毒蔷薇	毒薔薇
ゴクリン	Gulpin	Gloupti	Schluppuck	Gulpin	Gulpin	꼴깍몬	溶食兽	溶食獸
マルノーム	Swalot	Avaltout	Schlukwech	Swalot	Swalot	꿀꺽몬	吞食兽	吞食獸
キバニア	Carvanha	Carvanha	Kanivanha	Carvanha	Carvanha	샤프니아	利牙鱼	利牙魚
サメハダー	Sharpedo	Sharpedo	Tohaido	Sharpedo	Sharpedo	샤크니아	巨牙鲨	巨牙鯊
ホエルコ	Wailmer	Wailmer	Wailmer	Wailmer	Wailmer	고래왕자	吼吼鲸	吼吼鯨
ホエルオー	Wailord	Wailord	Wailord	Wailord	Wailord	고래왕	吼鲸王	吼鯨王
ドンメル	Numel	Chamallot	Camaub	Numel	Numel	둔타	呆火驼	呆火駝
バクーダ	Camerupt	Camerupt	Camerupt	Camerupt	Camerupt	폭타	喷火驼	噴火駝
コータス	Torkoal	Chartor	Qurtel	Torkoal	Torkoal	코터스	煤炭龟	煤炭龜
バネブー	Spoink	Spoink	Spoink	Spoink	Spoink	피그점프	跳跳猪	跳跳豬
ブーピッグ	Grumpig	Groret	Groink	Grumpig	Grumpig	피그킹	噗噗猪	噗噗豬
パッチール	Spinda	Spinda	Pandir	Spinda	Spinda	얼루기	晃晃斑	晃晃斑
ナックラー	Trapinch	Kraknoix	Knacklion	Trapinch	Trapinch	톱치	大颚蚁	大顎蟻
ビブラーバ	Vibrava	Vibraninf	Vibrava	Vibrava	Vibrava	비브라바	超音波幼虫	超音波幼蟲
フライゴン	Flygon	Libegon	Libelldra	Flygon	Flygon	플라이곤	沙漠蜻蜓	沙漠蜻蜓
サボネア	Cacnea	Cacnea	Tuska	Cacnea	Cacnea	선인왕	刺球仙人掌	刺球仙人掌
ノクタス	Cacturne	Cacturne	Noktuska	Cacturne	Cacturne	밤선인	梦歌仙人掌	夢歌仙人掌
チルット	Swablu	Tylton	Wablu	Swablu	Swablu	파비코	青绵鸟	青綿鳥
チルタリス	Altaria	Altaria	Altaria	Altaria	Altaria	파비코리	七夕青鸟	七夕青鳥
ザングース	Zangoose	Mangriff	Sengo	Zangoose	Zangoose	쟝고	猫鼬斩	貓鼬斬
ハブネーク	Seviper	Seviper	Vipitis	Seviper	Seviper	세비퍼	饭匙蛇	飯匙蛇
ルナトーン	Lunatone	Seleroc	Lunastein	Lunatone	Lunatone	루나톤	月石	月石
ソルロック	Solrock	Solaroc	Sonnfel	Solrock	Solrock	솔록	太阳岩	太陽岩
ドジョッチ	Barboach	Barloche	Schmerbe	Barboach	Barboach	미꾸리	泥泥鳅	泥泥鰍
ナマズン	Whiscash	Barbicha	Welsar	Whiscash	Whiscash	메깅	鲶鱼王	鯰魚王
ヘイガニ	Corphish	Ecrapince	Krebscorps	Corphish	Corphish	가재군	龙虾小兵	龍蝦小兵
シザリガー	Crawdaunt	Colhomard	Krebutack	Crawdaunt	Crawdaunt	가재장군	铁螯龙虾	鐵螯龍蝦
ヤジロン	Baltoy	Balbuto	Puppance	Baltoy	Baltoy	오뚝군	天秤偶	天秤偶
ネンドール	Claydol	Kaorine	Lepumentas	Claydol	Claydol	점토도리	念力土偶	念力土偶
リリーラ	Lileep	Lilia	Liliep	Lileep	Lileep	릴링	触手百合	觸手百合
ユレイドル	Cradily	Vacilys	Wielie	Cradily	Cradily	릴리요	摇篮百合	搖籃百合
アノプス	Anorith	Anorith	Anorith	Anorith	Anorith	아노딥스	太古羽虫	太古羽蟲
アーマルド	Armaldo	Armaldo	Armaldo	Armaldo	Armaldo	아말도	太古盔甲	太古盔甲
ヒンバス	Feebas	Barpau	Barschwa	Feebas	Feebas	빈티나	丑丑鱼	醜醜魚
ミロカロス	Milotic	Milobellus	Milotic	Milotic	Milotic	밀로틱	美纳斯	美納斯
ポワルン	Castform	Morpheo	Formeo	Castform	Castform	캐스퐁	飘浮泡泡	飄浮泡泡
カクレオン	Kecleon	Kecleon	Kecleon	Kecleon	Kecleon	켈리몬	变隐龙	變隱龍
カゲボウズ	Shuppet	Polichombr	Shuppet	Shuppet	Shuppet	어둠대신	怨影娃娃	怨影娃娃
ジュペッタ	Banette	Branette	Banette	Banette	Banette	다크펫	诅咒娃娃	詛咒娃娃
ヨマワル	Duskull	Skelenox	Zwirrlicht	Duskull	Duskull	해골몽	夜巡灵	夜巡靈
サマヨール	Dusclops	Teraclope	Zwirrklop	Dusclops	Dusclops	미라몽	彷徨夜灵	彷徨夜靈
トロピウス	Tropius	Tropius	Tropius	Tropius	Tropius	트로피우스	热带龙	熱帶龍
チリーン	Chimecho	Eoko	Palimpalim	Chimecho	Chimecho	치렁	风铃铃	風鈴鈴
アブソル	Absol	Absol	Absol	Absol	Absol	앱솔	阿勃梭鲁	阿勃梭魯
ソーナノ	Wynaut	Okeoke	Isso	Wynaut	Wynaut	마자	小果然	小果然
ユキワラシ	Snorunt	Stalgamin	Schneppke	Snorunt	Snorunt	눈꼬마	雪童子	雪童子
オニゴーリ	Glalie	Oniglali	Firnontor	Glalie	Glalie	얼음귀신	冰鬼护	冰鬼護
タマザラシ	Spheal	Obalie	Seemops	Spheal	Spheal	대굴레오	海豹球	海豹球
トドグラー	Sealeo	Phogleur	Seejong	Sealeo	Sealeo	씨레오	海魔狮	海魔獅
トドゼルガ	Walrein	Kaimorse	Walraisa	Walrein	Walrein	씨카이저	帝牙海狮	帝牙海獅
パールル	Clamperl	Coquiperl	Perlu	Clamperl	Clamperl	진주몽	珍珠贝	珍珠貝
ハンテール	Huntail	Serpang	Aalabyss	Huntail	Huntail	헌테일	猎斑鱼	獵斑魚
サクラビス	Gorebyss	Rosabyss	Saganabyss	Gorebyss	Gorebyss	분홍장이	樱花鱼	櫻花魚
ジーランス	Relicanth	Relicanth	Relicanth	Relicanth	Relicanth	시라칸	古空棘鱼	古空棘魚
ラブカス	Luvdisc	Lovdisc	Liebiskus	Luvdisc	Luvdisc	사랑동이	爱心鱼	愛心魚
タツベイ	Bagon	Draby	Kindwurm	Bagon	Bagon	아공이	宝贝龙	寶貝龍
コモルー	Shelgon	Drackhaus	Draschel	Shelgon	Shelgon	쉘곤	甲壳龙	甲殼龍
ボーマンダ	Salamence	Drattak	Brutalanda	Salamence	Salamence	보만다	暴飞龙	暴飛龍
ダンバル	Beldum	Terhal	Tanhel	Beldum	Beldum	메탕	铁哑铃	鐵啞鈴
メタング	Metang	Metang	Metang	Metang	Metang	메탕구	金属怪	金屬怪
メタグロス	Metagross	Metalosse	Metagross	Metagross	Metagross	메타그로스	巨金怪	巨金怪
レジロック	Regirock	Regirock	Regirock	Regirock	Regirock	레지락	雷吉洛克	雷吉洛克
レジアイス	Regice	Regice	Regice	Regice	Regice	레지아이스	雷吉艾斯	雷吉艾斯
レジスチル	Registeel	Registeel	Registeel	Registeel	Registeel	레지스틸	雷吉斯奇鲁	雷吉斯奇魯
ラティアス	Latias	Latias	Latias	Latias	Latias	라티아스	拉帝亚斯	拉帝亞斯
ラティオス	Latios	Latios	Latios	Latios	Latios	라티오스	拉帝欧斯	拉帝歐斯
カイオーガ	Kyogre	Kyogre	Kyogre	Kyogre	Kyogre	가이오가	盖欧卡	蓋歐卡
グラードン	Groudon	Groudon	Groudon	Groudon	Groudon	그란돈	固拉多	固拉多
レックウザ	Rayquaza	Rayquaza	Rayquaza	Rayquaza	Rayquaza	레쿠쟈	烈空坐	烈空坐
ジラーチ	Jirachi	Jirachi	Jirachi	Jirachi	Jirachi	지라치	基拉祈	基拉祈
デオキシス	Deoxys	Deoxys	Deoxys	Deoxys	Deoxys	테오키스	代欧奇希斯	代歐奇希斯
ナエトル	Turtwig	Tortipouss	Chelast	Turtwig	Turtwig	모부기	草苗龟	草苗龜
ハヤシガメ	Grotle	Boskara	Chelcarain	Grotle	Grotle	수풀부기	树林龟	樹林龜
ドダイトス	Torterra	Torterra	Chelterrar	Torterra	Torterra	토대부기	土台龟	土台龜
ヒコザル	Chimchar	Ouisticram	Panflam	Chimchar	Chimchar	불꽃숭이	小火焰猴	小火焰猴
モウカザル	Monferno	Chimpenfeu	Panpyro	Monferno	Monferno	파이숭이	猛火猴	猛火猴
ゴウカザル	Infernape	Simiabraz	Panferno	Infernape	Infernape	초염몽	烈焰猴	烈焰猴
ポッチャマ	Piplup	Tiplouf	Plinfa	Piplup	Piplup	팽도리	波加曼	波加曼
ポッタイシ	Prinplup	Prinplouf	Pliprin	Prinplup	Prinplup	팽태자	波皇子	波皇子
エンペルト	Empoleon	Pingoleon	Impoleon	Empoleon	Empoleon	엠페르트	帝王拿波	帝王拿波
ムックル	Starly	Etourmi	Staralili	Starly	Starly	찌르꼬	姆克儿	姆克兒
ムクバード	Staravia	Etourvol	Staravia	Staravia	Staravia	찌르버드	姆克鸟	姆克鳥
ムクホーク	Staraptor	Etouraptor	Staraptor	Staraptor	Staraptor	찌르호크	姆克鹰	姆克鷹
ビッパ	Bidoof	Keunotor	Bidiza	Bidoof	Bidoof	비버니	大牙狸	大牙狸
ビーダル	Bibarel	Castorno	Bidifas	Bibarel	Bibarel	비버통	大尾狸	大尾狸
コロボーシ	Kricketot	Crikzik	Zirpurze	Kricketot	Kricketot	귀뚤뚜기	圆法师	圓法師
コロトック	Kricketune	Melokrik	Zirpeise	Kricketune	Kricketune	귀뚤톡크	音箱蟀	音箱蟀
コリンク	Shinx	Lixy	Sheinux	Shinx	Shinx	꼬링크	小猫怪	小貓怪
ルクシオ	Luxio	Luxio	Luxio	Luxio	Luxio	럭시오	勒克猫	勒克貓
レントラー	Luxray	Luxray	Luxtra	Luxray	Luxray	렌트라	伦琴猫	倫琴貓
スボミー	Budew	Rozbouton	Knospi	Budew	Budew	꼬몽울	含羞苞	含羞苞
ロズレイド	Roserade	Roserade	Roserade	Roserade	Roserade	로즈레이드	罗丝雷朵	羅絲雷朵
ズガイドス	Cranidos	Kranidos	Koknodon	Cranidos	Cranidos	두개도스	头盖龙	頭蓋龍
ラムパルド	Rampardos	Charkos	Rameidon	Rampardos	Rampardos	램펄드	战槌龙	戰槌龍
タテトプス	Shieldon	Dinoclier	Schilterus	Shieldon	Shieldon	방패톱스	盾甲龙	盾甲龍
トリデプス	Bastiodon	Bastiodon	Bollterus	Bastiodon	Bastiodon	바리톱스	护城龙	護城龍
ミノムッチ	Burmy	Cheniti	Burmy	Burmy	Burmy	도롱충이	结草儿	結草兒
ミノマダム	Wormadam	Cheniselle	Burmadame	Wormadam	Wormadam	도롱마담	结草贵妇	結草貴婦
ガーメイル	Mothim	Papilord	Moterpel	Mothim	Mothim	나메일	绅士蛾	紳士蛾
ミツハニー	Combee	Apitrini	Wadribie	Combee	Combee	세꿀버리	三蜜蜂	三蜜蜂
ビークイン	Vespiquen	Apireine	Honweisel	Vespiquen	Vespiquen	비퀸	蜂女王	蜂女王
パチリス	Pachirisu	Pachirisu	Pachirisu	Pachirisu	Pachirisu	파치리스	帕奇利兹	帕奇利茲
ブイゼル	Buizel	Mustebouee	Bamelin	Buizel	Buizel	브이젤	泳圈鼬	泳圈鼬
フローゼル	Floatzel	Musteflott	Bojelin	Floatzel	Floatzel	플로젤	浮潜鼬	浮潛鼬
チェリンボ	Cherubi	Ceribou	Kikugi	Cherubi	Cherubi	체리버	樱花宝	櫻花寶
チェリム	Cherrim	Ceriflor	Kinoso	Cherrim	Cherrim	체리꼬	樱花儿	櫻花兒
カラナクシ	Shellos	Sancoki	Schalellos	Shellos	Shellos	깝질무	无壳海兔	無殼海兔
トリトドン	Gastrodon	Tritosor	Gastrodon	Gastrodon	Gastrodon	트리토돈	海兔兽	海兔獸
エテボース	Ambipom	Capidextre	Ambidiffel	Ambipom	Ambipom	겟핸보숭	双尾怪手	雙尾怪手
フワンテ	Drifloon	Baudrive	Driftlon	Drifloon	Drifloon	흔들풍손	飘飘球	飄飄球
フワライド	Drifblim	Grodrive	Drifzepeli	Drifblim	Drifblim	둥실라이드	随风球	隨風球
ミミロル	Buneary	Laporeille	Haspiror	Buneary	Buneary	이어롤	卷卷耳	捲捲耳
ミミロップ	Lopunny	Lockpin	Schlapor	Lopunny	Lopunny	이어롭	长耳兔	長耳兔
ムウマージ	Mismagius	Magirêve	Traunmagil	Mismagius	Mismagius	무우마직	梦妖魔	夢妖魔
ドンカラス	Honchkrow	Corboss	Kramshef	Honchkrow	Honchkrow	돈크로우	乌鸦头头	烏鴉頭頭
ニャルマー	Glameow	Chaglam	Charmian	Glameow	Glameow	나옹마	魅力喵	魅力喵
ブニャット	Purugly	Chaffreux	Shnurgarst	Purugly	Purugly	몬냥이	东施喵	東施喵
リーシャン	Chingling	Korillon	Klingplim	Chingling	Chingling	랑딸랑	铃铛响	鈴鐺響
スカンプー	Stunky	Moufouette	Skunkapuh	Stunky	Stunky	스컹뿡	臭鼬噗	臭鼬噗
スカタンク	Skuntank	Moufflair	Skuntank	Skuntank	Skuntank	스컹탱크	坦克臭鼬	坦克臭鼬
ドーミラー	Bronzor	Archeomire	Bronzel	Bronzor	Bronzor	동미러	铜镜怪	銅鏡怪
ドータクン	Bronzong	Archeodong	Bronzong	Bronzong	Bronzong	동탁군	青铜钟	青銅鐘
ウソハチ	Bonsly	Manzai	Mobai	Bonsly	Bonsly	꼬지지	盆才怪	盆才怪
マネネ	Mime Jr.	Mime Jr	Pantimimi	Mime Jr.	Mime Jr.	흉내내	魔尼尼	魔尼尼
ピンプク	Happiny	Ptiravi	Wonneira	Happiny	Happiny	핑복	小福蛋	小福蛋
ペラップ	Chatot	Pijako	Plaudagei	Chatot	Chatot	페라페	聒噪鸟	聒噪鳥
ミカルゲ	Spiritomb	Spiritomb	Kryppuk	Spiritomb	Spiritomb	화강돌	花岩怪	花岩怪
フカマル	Gible	Griknot	Kaumalat	Gible	Gible	딥상어동	圆陆鲨	圓陸鯊
ガバイト	Gabite	Carmache	Knarksel	Gabite	Gabite	한바이트	尖牙陆鲨	尖牙陸鯊
ガブリアス	Garchomp	Carchacrok	Knakrack	Garchomp	Garchomp	한카리아스	烈咬陆鲨	烈咬陸鯊
ゴンベ	Munchlax	Goinfrex	Mampfaxo	Munchlax	Munchlax	먹고자	小卡比兽	小卡比獸
リオル	Riolu	Riolu	Riolu	Riolu	Riolu	리오르	利欧路	利歐路
ルカリオ	Lucario	Lucario	Lucario	Lucario	Lucario	루카리오	路卡利欧	路卡利歐
ヒポポタス	Hippopotas	Hippopotas	Hippopotas	Hippopotas	Hippopotas	히포포타스	沙河马	沙河馬
カバルドン	Hippowdon	Hippodocus	Hippoterus	Hippowdon	Hippowdon	하마돈	河马兽	河馬獸
スコルピ	Skorupi	Rapion	Pionskora	Skorupi	Skorupi	스콜피	钳尾蝎	鉗尾蠍
ドラピオン	Drapion	Drascore	Piondragi	Drapion	Drapion	드래피온	龙王蝎	龍王蠍
グレッグル	Croagunk	Cradopaud	Glibunkel	Croagunk	Croagunk	삐딱구리	不良蛙	不良蛙
ドクロッグ	Toxicroak	Coatox	Toxiquak	Toxicroak	Toxicroak	독개굴	毒骷蛙	毒骷蛙
マスキッパ	Carnivine	Vortente	Venuflibis	Carnivine	Carnivine	무스틈니	尖牙笼	尖牙籠
ケイコウオ	Finneon	Ecayon	Finneon	Finneon	Finneon	형광어	荧光鱼	螢光魚
ネオラント	Lumineon	Lumineon	Lumineon	Lumineon	Lumineon	네오라이트	霓虹鱼	霓虹魚
タマンタ	Mantyke	Babimanta	Mantirps	Mantyke	Mantyke	타만타	小球飞鱼	小球飛魚
ユキカブリ	Snover	Blizzi	Shnebedeck	Snover	Snover	눈쓰개	雪笠怪	雪笠怪
ユキノオー	Abomasnow	Blizzaroi	Rexblisar	Abomasnow	Abomasnow	눈설왕	暴雪王	暴雪王
マニューラ	Weavile	Dimoret	Snibunna	Weavile	Weavile	포푸니라	玛狃拉	瑪狃拉
ジバコイル	Magnezone	Magnezone	Magnezone	Magnezone	Magnezone	자포코일	自爆磁怪	自爆磁怪
ベロベルト	Lickilicky	Coudlangue	Schlurplek	Lickilicky	Lickilicky	내룸벨트	大舌舔	大舌舔
ドサイドン	Rhyperior	Rhinastoc	Rihornior	Rhyperior	Rhyperior	거대코뿌리	超甲狂犀	超甲狂犀
モジャンボ	Tangrowth	Bouldeneu	Tangoloss	Tangrowth	Tangrowth	덩쿠림보	巨蔓藤	巨蔓藤
エレキブル	Electivire	Elekable	Elevoltek	Electivire	Electivire	에레키블	电击魔兽	電擊魔獸
ブーバーン	Magmortar	Maganon	Magbrant	Magmortar	Magmortar	마그마번	鸭嘴炎兽	鴨嘴炎獸
トゲキッス	Togekiss	Togekiss	Togekiss	Togekiss	Togekiss	토게키스	波克基斯	波克基斯
メガヤンマ	Yanmega	Yanmega	Yanmega	Yanmega	Yanmega	메가자리	远古巨蜓	遠古巨蜓
リーフィア	Leafeon	Phyllali	Folipurba	Leafeon	Leafeon	리피아	叶伊布	葉伊布
グレイシア	Glaceon	Givrali	Glaziola	Glaceon	Glaceon	글레이시아	冰伊布	冰伊布
グライオン	Gliscor	Scorvol	Skorgro	Gliscor	Gliscor	글라이온	天蝎王	天蠍王
マンムー	Mamoswine	Mammochon	Mamutel	Mamoswine	Mamoswine	맘모꾸리	象牙猪	象牙豬
ポリゴンZ	Porygon-Z	Porygon-Z	Porygon-Z	Porygon-Z	Porygon-Z	폴리곤Z	多边兽乙型	多邊獸Ｚ
エルレイド	Gallade	Gallame	Galagladi	Gallade	Gallade	엘레이드	艾路雷朵	艾路雷朵
ダイノーズ	Probopass	Tarinorme	Voluminas	Probopass	Probopass	대코파스	大朝北鼻	大朝北鼻
ヨノワール	Dusknoir	Noctunoir	Zwirrfinst	Dusknoir	Dusknoir	야느와르몽	黑夜魔灵	黑夜魔靈
ユキメノコ	Froslass	Momartik	Frosdedje	Froslass	Froslass	눈여아	雪妖女	雪妖女
ロトム	Rotom	Motisma	Rotom	Rotom	Rotom	로토무	洛托姆	洛托姆
ユクシー	Uxie	Crehelf	Selfe	Uxie	Uxie	유크시	由克希	由克希
エムリット	Mesprit	Crefollet	Vesprit	Mesprit	Mesprit	엠라이트	艾姆利多	艾姆利多
アグノム	Azelf	Crefadet	Tobutz	Azelf	Azelf	아그놈	亚克诺姆	亞克諾姆
ディアルガ	Dialga	Dialga	Dialga	Dialga	Dialga	디아루가	帝牙卢卡	帝牙盧卡
パルキア	Palkia	Palkia	Palkia	Palkia	Palkia	펄기아	帕路奇亚	帕路奇亞
ヒードラン	Heatran	Heatran	Heatran	Heatran	Heatran	히드런	席多蓝恩	席多藍恩
レジギガス	Regigigas	Regigigas	Regigigas	Regigigas	Regigigas	레지기가스	雷吉奇卡斯	雷吉奇卡斯
ギラティナ	Giratina	Giratina	Giratina	Giratina	Giratina	기라티나	骑拉帝纳	騎拉帝納
クレセリア	Cresselia	Cresselia	Cresselia	Cresselia	Cresselia	크레세리아	克雷色利亚	克雷色利亞
フィオネ	Phione	Phione	Phione	Phione	Phione	피오네	霏欧纳	霏歐納
マナフィ	Manaphy	Manaphy	Manaphy	Manaphy	Manaphy	마나피	玛纳霏	瑪納霏
ダークライ	Darkrai	Darkrai	Darkrai	Darkrai	Darkrai	다크라이	达克莱伊	達克萊伊
シェイミ	Shaymin	Shaymin	Shaymin	Shaymin	Shaymin	쉐이미	谢米	謝米
アルセウス	Arceus	Arceus	Arceus	Arceus	Arceus	아르세우스	阿尔宙斯	阿爾宙斯
ビクティニ	Victini	Victini	Victini	Victini	Victini	비크티니	比克提尼	比克提尼
ツタージャ	Snivy	Vipélierre	Serpifeu	Snivy	Snivy	주리비얀	藤藤蛇	藤藤蛇
ジャノビー	Servine	Lianaja	Efoserp	Servine	Servine	샤비	青藤蛇	青藤蛇
ジャローダ	Serperior	Majaspic	Serpiroyal	Serperior	Serperior	샤로다	君主蛇	君主蛇
ポカブ	Tepig	Gruikui	Floink	Tepig	Tepig	뚜꾸리	暖暖猪	暖暖豬
チャオブー	Pignite	Grotichon	Ferkokel	Pignite	Pignite	챠오꿀	炒炒猪	炒炒豬
エンブオー	Emboar	Roitiflam	Flambirex	Emboar	Emboar	염무왕	炎武王	炎武王
ミジュマル	Oshawott	Moustillon	Ottaro	Oshawott	Oshawott	수댕이	水水獭	水水獺
フタチマル	Dewott	Mateloutre	Zwottronin	Dewott	Dewott	쌍검자비	双刃丸	雙刃丸
ダイケンキ	Samurott	Clamiral	Admurai	Samurott	Samurott	대검귀	大剑鬼	大劍鬼
ミネズミ	Patrat	Ratentif	Nagelotz	Patrat	Patrat	보르쥐	探探鼠	探探鼠
ミルホッグ	Watchog	Miradar	Kukmarda	Watchog	Watchog	보르그	步哨鼠	步哨鼠
ヨーテリー	Lillipup	Ponchiot	Yorkleff	Lillipup	Lillipup	요테리	小约克	小約克
ハーデリア	Herdier	Ponchien	Terribark	Herdier	Herdier	하데리어	哈约克	哈約克
ムーランド	Stoutland	Mastouffe	Bissbark	Stoutland	Stoutland	바랜드	长毛狗	長毛狗
チョロネコ	Purrloin	Chacripan	Felilou	Purrloin	Purrloin	쌔비냥	扒手猫	扒手貓
レパルダス	Liepard	Léopardas	Kleoparda	Liepard	Liepard	레파르다스	酷豹	酷豹
ヤナップ	Pansage	Feuillajou	Vegimak	Pansage	Pansage	야나프	花椰猴	花椰猴
ヤナッキー	Simisage	Feuiloutan	Vegichita	Simisage	Simisage	야나키	花椰猿	花椰猿
バオップ	Pansear	Flamajou	Grillmak	Pansear	Pansear	바오프	爆香猴	爆香猴
バオッキー	Simisear	Flamoutan	Grillchita	Simisear	Simisear	바오키	爆香猿	爆香猿
ヒヤップ	Panpour	Flotajou	Sodamak	Panpour	Panpour	앗차프	冷水猴	冷水猴
ヒヤッキー	Simipour	Flotoutan	Sodachita	Simipour	Simipour	앗차키	冷水猿	冷水猿
ムンナ	Munna	Munna	Somniam	Munna	Munna	몽나	食梦梦	食夢夢
ムシャーナ	Musharna	Mushana	Somnivora	Musharna	Musharna	몽얌나	梦梦蚀	夢夢蝕
マメパト	Pidove	Poichigeon	Dusselgurr	Pidove	Pidove	콩둘기	豆豆鸽	豆豆鴿
ハトーボー	Tranquill	Colombeau	Navitaub	Tranquill	Tranquill	유토브	咕咕鸽	咕咕鴿
ケンホロウ	Unfezant	Déflaisan	Fasasnob	Unfezant	Unfezant	켄호로우	高傲雉鸡	高傲雉雞
