,id,form_id,name,form,alias,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
0212-001,212,1,ハッサム,メガハッサム,メガハッサム,はさみポケモン,125.0,2.0,むし,はがね,テクニシャン,ライトメタル,,7,70,130,100,55,80,65
0213-000,213,0,ツボツボ,,ツボツボ,はっこうポケモン,20.5,0.6,むし,いわ,がんじょう,くいしんぼう,あまのじゃく,8,20,10,230,10,230,5
0214-000,214,0,ヘラクロス,,ヘラクロス,１ぽんヅノポケモン,54.0,1.5,むし,かくとう,むしのしらせ,こんじょう,じしんかじょう,9,80,125,75,40,95,85
0214-001,214,1,ヘラクロス,メガヘラクロス,メガヘラクロス,１ぽんヅノポケモン,62.5,1.7,むし,かくとう,スキルリンク,じしんかじょう,,7,80,125,75,40,95,85
0215-000,215,0,ニューラ,,ニューラ,かぎづめポケモン,28.0,0.9,あく,こおり,せいしんりょく,するどいめ,わるいてぐせ,9,55,95,55,35,75,115
0215-001,215,1,ニューラ,ヒスイのすがた,ニューラ(ヒスイ),かぎづめポケモン,27.0,0.9,かくとう,どく,せいしんりょく,するどいめ,わるいてぐせ,9,55,95,55,35,75,115
0216-000,216,0,ヒメグマ,,ヒメグマ,こぐまポケモン,8.8,0.6,ノーマル,,ものひろい,はやあし,みつあつめ,9,60,80,50,50,50,40
0217-000,217,0,リングマ,,リングマ,とうみんポケモン,125.8,1.8,ノーマル,,こんじょう,はやあし,きんちょうかん,9,90,130,75,75,75,55
0218-000,218,0,マグマッグ,,マグマッグ,ようがんポケモン,35.0,0.7,ほのお,,マグマのよろい,ほのおのからだ,くだけるよろい,9,40,40,40,70,40,20
0219-000,219,0,マグカルゴ,,マグカルゴ,ようがんポケモン,55.0,0.8,ほのお,いわ,マグマのよろい,ほのおのからだ,くだけるよろい,9,60,50,120,90,80,30
0220-000,220,0,ウリムー,,ウリムー,いのぶたポケモン,6.5,0.4,こおり,じめん,どんかん,ゆきがくれ,あついしぼう,9,50,50,40,30,30,50
0221-000,221,0,イノムー,,イノムー,いのししポケモン,55.8,1.1,こおり,じめん,どんかん,ゆきがくれ,あついしぼう,9,100,100,80,60,60,50
0222-000,222,0,サニーゴ,,サニーゴ,さんごポケモン,5.0,0.6,みず,いわ,はりきり,しぜんかいふく,さいせいりょく,8,65,55,95,65,95,35
0222-001,222,1,サニーゴ,ガラルのすがた,サニーゴ(ガラル),さんごポケモン,0.5,0.6,ゴースト,,くだけるよろい,さいせいりょく,のろわれボディ,8,60,55,100,65,100,30
0223-000,223,0,テッポウオ,,テッポウオ,ふんしゃポケモン,12.0,0.6,みず,,はりきり,スナイパー,ムラっけ,8,35,65,35,65,35,65
0224-000,224,0,オクタン,,オクタン,ふんしゃポケモン,28.5,0.9,みず,,きゅうばん,スナイパー,ムラっけ,8,75,105,75,105,75,45
0225-000,225,0,デリバード,,デリバード,はこびやポケモン,16.0,0.9,こおり,ひこう,やるき,はりきり,ふみん,9,45,55,45,65,45,75
0226-000,226,0,マンタイン,,マンタイン,カイトポケモン,220.0,2.1,みず,ひこう,すいすい,ちょすい,みずのベール,8,85,40,70,80,140,70
0227-000,227,0,エアームド,,エアームド,よろいどりポケモン,50.5,1.7,はがね,ひこう,するどいめ,がんじょう,くだけるよろい,9,65,80,140,40,70,70
0228-000,228,0,デルビル,,デルビル,ダークポケモン,10.8,0.6,あく,ほのお,はやおき,もらいび,きんちょうかん,9,45,60,30,80,50,65
0229-000,229,0,ヘルガー,,ヘルガー,ダークポケモン,35.0,1.4,あく,ほのお,はやおき,もらいび,きんちょうかん,9,75,90,50,110,80,95
0229-001,229,1,ヘルガー,メガヘルガー,メガヘルガー,ダークポケモン,49.5,1.9,あく,ほのお,サンパワー,きんちょうかん,,7,75,90,50,110,80,95
0230-000,230,0,キングドラ,,キングドラ,ドラゴンポケモン,152.0,1.8,みず,ドラゴン,すいすい,スナイパー,しめりけ,9,75,95,95,95,95,85
0231-000,231,0,ゴマゾウ,,ゴマゾウ,ながはなポケモン,33.5,0.5,じめん,,ものひろい,すながくれ,,9,90,60,60,40,40,40
0232-000,232,0,ドンファン,,ドンファン,よろいポケモン,120.0,1.1,じめん,,がんじょう,すながくれ,,9,90,120,120,60,60,50
0233-000,233,0,ポリゴン２,,ポリゴン２,バーチャルポケモン,32.5,0.6,ノーマル,,トレース,ダウンロード,アナライズ,9,85,80,90,105,95,60
0234-000,234,0,オドシシ,,オドシシ,おおツノポケモン,71.2,1.4,ノーマル,,いかく,おみとおし,そうしょく,9,73,95,62,85,65,85
0235-000,235,0,ドーブル,,ドーブル,えかきポケモン,58.0,1.2,ノーマル,,マイペース,テクニシャン,ムラっけ,9,55,20,35,20,45,75
0236-000,236,0,バルキー,,バルキー,けんかポケモン,21.0,0.7,かくとう,,こんじょう,ふくつのこころ,やるき,9,35,35,35,35,35,35
0237-000,237,0,カポエラー,,カポエラー,さかだちポケモン,48.0,1.4,かくとう,,いかく,テクニシャン,ふくつのこころ,9,50,95,95,35,110,70
0238-000,238,0,ムチュール,,ムチュール,くちづけポケモン,6.0,0.4,こおり,エスパー,どんかん,よちむ,うるおいボディ,8,45,30,15,85,65,65
0239-000,239,0,エレキッド,,エレキッド,でんきポケモン,23.5,0.6,でんき,,せいでんき,やるき,,9,45,63,37,65,55,95
0240-000,240,0,ブビィ,,ブビィ,ひだねポケモン,21.4,0.7,ほのお,,ほのおのからだ,やるき,,9,45,75,37,70,55,83
0241-000,241,0,ミルタンク,,ミルタンク,ちちうしポケモン,75.5,1.2,ノーマル,,あついしぼう,きもったま,そうしょく,8,95,80,105,40,70,100
0242-000,242,0,ハピナス,,ハピナス,しあわせポケモン,46.8,1.5,ノーマル,,しぜんかいふく,てんのめぐみ,いやしのこころ,9,255,10,10,75,135,55
0243-000,243,0,ライコウ,,ライコウ,いかずちポケモン,178.0,1.9,でんき,,プレッシャー,せいしんりょく,,9,90,85,75,115,100,115
0244-000,244,0,エンテイ,,エンテイ,かざんポケモン,198.0,2.1,ほのお,,プレッシャー,せいしんりょく,,9,115,115,85,90,75,100
0245-000,245,0,スイクン,,スイクン,オーロラポケモン,187.0,2.0,みず,,プレッシャー,せいしんりょく,,9,100,75,115,90,115,85
0246-000,246,0,ヨーギラス,,ヨーギラス,いわはだポケモン,72.0,0.6,いわ,じめん,こんじょう,すながくれ,,9,50,64,50,45,50,41
0247-000,247,0,サナギラス,,サナギラス,だんがんポケモン,152.0,1.2,いわ,じめん,だっぴ,,,9,70,84,70,65,70,51
0248-000,248,0,バンギラス,,バンギラス,よろいポケモン,202.0,2.0,いわ,あく,すなおこし,きんちょうかん,,9,100,134,110,95,100,61
0248-001,248,1,バンギラス,メガバンギラス,メガバンギラス,よろいポケモン,255.0,2.5,いわ,あく,すなおこし,きんちょうかん,,7,100,134,110,95,100,61
0249-000,249,0,ルギア,,ルギア,せんすいポケモン,216.0,5.2,エスパー,ひこう,プレッシャー,マルチスケイル,,9,106,90,130,90,154,110
0250-000,250,0,ホウオウ,,ホウオウ,にじいろポケモン,199.0,3.8,ほのお,ひこう,プレッシャー,さいせいりょく,,9,106,130,90,110,154,90
0251-000,251,0,セレビィ,,セレビィ,ときわたりポケモン,5.0,0.6,エスパー,くさ,しぜんかいふく,,,8,100,100,100,100,100,100
0252-000,252,0,キモリ,,キモリ,もりトカゲポケモン,5.0,0.5,くさ,,しんりょく,かるわざ,,9,40,45,35,65,55,70
0253-000,253,0,ジュプトル,,ジュプトル,もりトカゲポケモン,21.6,0.9,くさ,,しんりょく,かるわざ,,9,50,65,45,85,65,95
0254-000,254,0,ジュカイン,,ジュカイン,みつりんポケモン,52.2,1.7,くさ,,しんりょく,かるわざ,,9,70,85,65,105,85,120
0254-001,254,1,ジュカイン,メガジュカイン,メガジュカイン,みつりんポケモン,55.2,1.9,くさ,ドラゴン,ひらいしん,かるわざ,,7,70,85,65,105,85,120
0255-000,255,0,アチャモ,,アチャモ,ひよこポケモン,2.5,0.4,ほのお,,もうか,かそく,,9,45,60,40,70,50,45
0256-000,256,0,ワカシャモ,,ワカシャモ,わかどりポケモン,19.5,0.9,ほのお,かくとう,もうか,かそく,,9,60,85,60,85,60,55
0257-000,257,0,バシャーモ,,バシャーモ,もうかポケモン,52.0,1.9,ほのお,かくとう,もうか,かそく,,9,80,120,70,110,70,80
0257-001,257,1,バシャーモ,メガバシャーモ,メガバシャーモ,もうかポケモン,52.0,1.9,ほのお,かくとう,かそく,もうか,,7,80,120,70,110,70,80
0258-000,258,0,ミズゴロウ,,ミズゴロウ,ぬまうおポケモン,7.6,0.4,みず,,げきりゅう,しめりけ,,9,50,70,50,50,50,40
0259-000,259,0,ヌマクロー,,ヌマクロー,ぬまうおポケモン,28.0,0.7,みず,じめん,げきりゅう,しめりけ,,9,70,85,70,60,70,50
0260-000,260,0,ラグラージ,,ラグラージ,ぬまうおポケモン,81.9,1.5,みず,じめん,げきりゅう,しめりけ,,9,100,110,90,85,90,60
0260-001,260,1,ラグラージ,メガラグラージ,メガラグラージ,ぬまうおポケモン,102.0,1.9,みず,じめん,すいすい,しめりけ,,7,100,110,90,85,90,60
0261-000,261,0,ポチエナ,,ポチエナ,かみつきポケモン,13.6,0.5,あく,,にげあし,はやあし,びびり,9,35,55,35,30,30,35
0262-000,262,0,グラエナ,,グラエナ,かみつきポケモン,37.0,1.0,あく,,いかく,はやあし,じしんかじょう,9,70,90,70,60,60,70
0263-000,263,0,ジグザグマ,,ジグザグマ,まめだぬきポケモン,17.5,0.4,ノーマル,,ものひろい,くいしんぼう,はやあし,8,38,30,41,30,41,60
0263-001,263,1,ジグザグマ,ガラルのすがた,ジグザグマ(ガラル),まめだぬきポケモン,17.5,0.4,あく,ノーマル,ものひろい,くいしんぼう,はやあし,8,38,30,41,30,41,60
0264-000,264,0,マッスグマ,,マッスグマ,とっしんポケモン,32.5,0.5,ノーマル,,ものひろい,くいしんぼう,はやあし,8,78,70,61,50,61,100
0264-001,264,1,マッスグマ,ガラルのすがた,マッスグマ(ガラル),とっしんポケモン,32.5,0.5,あく,ノーマル,ものひろい,くいしんぼう,はやあし,8,78,70,61,50,61,100
0265-000,265,0,ケムッソ,,ケムッソ,いもむしポケモン,3.6,0.3,むし,,りんぷん,にげあし,,8,45,45,35,20,30,20
0266-000,266,0,カラサリス,,カラサリス,さなぎポケモン,10.0,0.6,むし,,だっぴ,,,8,50,35,55,25,25,15
0267-000,267,0,アゲハント,,アゲハント,ちょうちょポケモン,28.4,1.0,むし,ひこう,むしのしらせ,とうそうしん,,8,60,70,50,100,50,65
0268-000,268,0,マユルド,,マユルド,さなぎポケモン,11.5,0.7,むし,,だっぴ,,,8,50,35,55,25,25,15
0269-000,269,0,ドクケイル,,ドクケイル,どくがポケモン,31.6,1.2,むし,どく,りんぷん,ふくがん,,8,60,50,70,50,90,65
0270-000,270,0,ハスボー,,ハスボー,うきくさポケモン,2.6,0.5,みず,くさ,すいすい,あめうけざら,マイペース,9,40,30,30,40,50,30
0271-000,271,0,ハスブレロ,,ハスブレロ,ようきポケモン,32.5,1.2,みず,くさ,すいすい,あめうけざら,マイペース,9,60,50,50,60,70,50
0272-000,272,0,ルンパッパ,,ルンパッパ,のうてんきポケモン,55.0,1.5,みず,くさ,すいすい,あめうけざら,マイペース,9,80,70,70,90,100,70
0273-000,273,0,タネボー,,タネボー,どんぐりポケモン,4.0,0.5,くさ,,ようりょくそ,はやおき,わるいてぐせ,9,40,40,50,30,30,30
0274-000,274,0,コノハナ,,コノハナ,いじわるポケモン,28.0,1.0,くさ,あく,ようりょくそ,はやおき,わるいてぐせ,9,70,70,40,60,40,60
0275-000,275,0,ダーテング,,ダーテング,よこしまポケモン,59.6,1.3,くさ,あく,ようりょくそ,かぜのり,わるいてぐせ,9,90,100,60,90,60,80
0276-000,276,0,スバメ,,スバメ,こツバメポケモン,2.3,0.3,ノーマル,ひこう,こんじょう,きもったま,,8,40,55,30,30,30,85
0277-000,277,0,オオスバメ,,オオスバメ,ツバメポケモン,19.8,0.7,ノーマル,ひこう,こんじょう,きもったま,,8,60,85,60,75,50,125
0278-000,278,0,キャモメ,,キャモメ,うみねこポケモン,9.5,0.6,みず,ひこう,するどいめ,うるおいボディ,あめうけざら,9,40,30,30,55,30,85
0279-000,279,0,ペリッパー,,ペリッパー,みずどりポケモン,28.0,1.2,みず,ひこう,するどいめ,あめふらし,あめうけざら,9,60,50,100,95,70,65
0280-000,280,0,ラルトス,,ラルトス,きもちポケモン,6.6,0.4,エスパー,フェアリー,シンクロ,トレース,テレパシー,9,28,25,25,45,35,40
0281-000,281,0,キルリア,,キルリア,かんじょうポケモン,20.2,0.8,エスパー,フェアリー,シンクロ,トレース,テレパシー,9,38,35,35,65,55,50
0282-000,282,0,サーナイト,,サーナイト,ほうようポケモン,48.4,1.6,エスパー,フェアリー,シンクロ,トレース,テレパシー,9,68,65,65,125,115,80
0282-001,282,1,サーナイト,メガサーナイト,メガサーナイト,ほうようポケモン,48.4,1.6,エスパー,フェアリー,フェアリースキン,テレパシー,,7,68,65,65,125,115,80
0283-000,283,0,アメタマ,,アメタマ,あめんぼポケモン,1.7,0.5,むし,みず,すいすい,あめうけざら,,9,40,30,32,50,52,65
0284-000,284,0,アメモース,,アメモース,めだまポケモン,3.6,0.8,むし,ひこう,いかく,きんちょうかん,,9,70,60,62,100,82,80
0285-000,285,0,キノココ,,キノココ,きのこポケモン,4.5,0.4,くさ,,ほうし,ポイズンヒール,はやあし,9,60,40,60,40,60,35
0286-000,286,0,キノガッサ,,キノガッサ,きのこポケモン,39.2,1.2,くさ,かくとう,ほうし,ポイズンヒール,テクニシャン,9,60,130,80,60,60,70
0287-000,287,0,ナマケロ,,ナマケロ,なまけものポケモン,24.0,0.8,ノーマル,,なまけ,,,9,60,60,60,35,35,30
0288-000,288,0,ヤルキモノ,,ヤルキモノ,あばれザルポケモン,46.5,1.4,ノーマル,,やるき,,,9,80,80,80,55,55,90
0289-000,289,0,ケッキング,,ケッキング,ものぐさポケモン,130.5,2.0,ノーマル,,なまけ,,,9,150,160,100,95,65,100
0290-000,290,0,ツチニン,,ツチニン,したづみポケモン,5.5,0.5,むし,じめん,ふくがん,にげあし,,8,31,45,90,30,30,40
0291-000,291,0,テッカニン,,テッカニン,しのびポケモン,12.0,0.8,むし,ひこう,かそく,すりぬけ,,8,61,90,45,50,50,160
0292-000,292,0,ヌケニン,,ヌケニン,ぬけがらポケモン,1.2,0.8,むし,ゴースト,ふしぎなまもり,,,8,1,90,45,30,30,40
0293-000,293,0,ゴニョニョ,,ゴニョニョ,ささやきポケモン,16.3,0.6,ノーマル,,ぼうおん,びびり,,8,64,51,23,51,23,28
0294-000,294,0,ドゴーム,,ドゴーム,おおごえポケモン,40.5,1.0,ノーマル,,ぼうおん,きもったま,,8,84,71,43,71,43,48
0295-000,295,0,バクオング,,バクオング,そうおんポケモン,84.0,1.5,ノーマル,,ぼうおん,きもったま,,8,104,91,63,91,73,68
0296-000,296,0,マクノシタ,,マクノシタ,こんじょうポケモン,86.4,1.0,かくとう,,あついしぼう,こんじょう,ちからずく,9,72,60,30,20,30,25
0297-000,297,0,ハリテヤマ,,ハリテヤマ,つっぱりポケモン,253.8,2.3,かくとう,,あついしぼう,こんじょう,ちからずく,9,144,120,60,40,60,50
0298-000,298,0,ルリリ,,ルリリ,みずたまポケモン,2.0,0.2,ノーマル,フェアリー,あついしぼう,ちからもち,そうしょく,9,50,20,40,20,40,20
0299-000,299,0,ノズパス,,ノズパス,コンパスポケモン,97.0,1.0,いわ,,がんじょう,じりょく,すなのちから,9,30,45,135,45,90,30
0300-000,300,0,エネコ,,エネコ,こねこポケモン,11.0,0.6,ノーマル,,メロメロボディ,ノーマルスキン,ミラクルスキン,8,50,45,45,35,35,50
0301-000,301,0,エネコロロ,,エネコロロ,おすましポケモン,32.6,1.1,ノーマル,,メロメロボディ,ノーマルスキン,ミラクルスキン,8,70,65,65,55,55,90
0302-000,302,0,ヤミラミ,,ヤミラミ,くらやみポケモン,11.0,0.5,あく,ゴースト,するどいめ,あとだし,いたずらごころ,9,50,75,75,65,65,50
0302-001,302,1,ヤミラミ,メガヤミラミ,メガヤミラミ,くらやみポケモン,161.0,0.5,あく,ゴースト,マジックミラー,いたずらごころ,,7,50,75,75,65,65,50
0303-000,303,0,クチート,,クチート,あざむきポケモン,11.5,0.6,はがね,フェアリー,かいりきバサミ,いかく,ちからずく,8,50,85,85,55,55,50
0303-001,303,1,クチート,メガクチート,メガクチート,あざむきポケモン,23.5,1.0,はがね,フェアリー,ちからもち,ちからずく,,7,50,85,85,55,55,50
0304-000,304,0,ココドラ,,ココドラ,てつヨロイポケモン,60.0,0.4,はがね,いわ,がんじょう,いしあたま,ヘヴィメタル,8,50,70,100,40,40,30
0305-000,305,0,コドラ,,コドラ,てつヨロイポケモン,120.0,0.9,はがね,いわ,がんじょう,いしあたま,ヘヴィメタル,8,60,90,140,50,50,40
0306-000,306,0,ボスゴドラ,,ボスゴドラ,てつヨロイポケモン,360.0,2.1,はがね,いわ,がんじょう,いしあたま,ヘヴィメタル,8,70,110,180,60,60,50
0306-001,306,1,ボスゴドラ,メガボスゴドラ,メガボスゴドラ,てつヨロイポケモン,395.0,2.2,はがね,,フィルター,ヘヴィメタル,,7,70,110,180,60,60,50
0307-000,307,0,アサナン,,アサナン,めいそうポケモン,11.2,0.6,かくとう,エスパー,ヨガパワー,テレパシー,,9,30,40,55,40,55,60
0308-000,308,0,チャーレム,,チャーレム,めいそうポケモン,31.5,1.3,かくとう,エスパー,ヨガパワー,テレパシー,,9,60,60,75,60,75,80
0308-001,308,1,チャーレム,メガチャーレム,メガチャーレム,めいそうポケモン,31.5,1.3,かくとう,エスパー,ヨガパワー,テレパシー,,7,60,60,75,60,75,80
0309-000,309,0,ラクライ,,ラクライ,いなずまポケモン,15.2,0.6,でんき,,せいでんき,ひらいしん,マイナス,8,40,45,40,65,40,65
0310-000,310,0,ライボルト,,ライボルト,ほうでんポケモン,40.2,1.5,でんき,,せいでんき,ひらいしん,マイナス,8,70,75,60,105,60,105
0310-001,310,1,ライボルト,メガライボルト,メガライボルト,ほうでんポケモン,44.0,1.8,でんき,,いかく,マイナス,,7,70,75,60,105,60,105
0311-000,311,0,プラスル,,プラスル,おうえんポケモン,4.2,0.4,でんき,,プラス,ひらいしん,,9,60,50,40,85,75,95
0312-000,312,0,マイナン,,マイナン,おうえんポケモン,4.2,0.4,でんき,,マイナス,ちくでん,,9,60,40,50,75,85,95
0313-000,313,0,バルビート,,バルビート,ほたるポケモン,17.7,0.7,むし,,はっこう,むしのしらせ,いたずらごころ,9,65,73,75,47,85,85
0314-000,314,0,イルミーゼ,,イルミーゼ,ほたるポケモン,17.7,0.6,むし,,どんかん,いろめがね,いたずらごころ,9,65,47,75,73,85,85
0315-000,315,0,ロゼリア,,ロゼリア,いばらポケモン,2.0,0.3,くさ,どく,しぜんかいふく,どくのトゲ,リーフガード,8,50,60,45,100,80,65
0316-000,316,0,ゴクリン,,ゴクリン,いぶくろポケモン,10.3,0.4,どく,,ヘドロえき,ねんちゃく,くいしんぼう,9,70,43,53,43,53,40
0317-000,317,0,マルノーム,,マルノーム,どくぶくろポケモン,80.0,1.7,どく,,ヘドロえき,ねんちゃく,くいしんぼう,9,100,73,83,73,83,55
0318-000,318,0,キバニア,,キバニア,どうもうポケモン,20.8,0.8,みず,あく,さめはだ,かそく,,8,45,90,20,65,20,65
0319-000,319,0,サメハダー,,サメハダー,きょうぼうポケモン,88.8,1.8,みず,あく,さめはだ,かそく,,8,70,120,40,95,40,95
0319-001,319,1,サメハダー,メガサメハダー,メガサメハダー,きょうぼうポケモン,130.3,2.5,みず,あく,がんじょうあご,かそく,,7,70,120,40,95,40,95
0320-000,320,0,ホエルコ,,ホエルコ,たまくじらポケモン,130.0,2.0,みず,,みずのベール,どんかん,プレッシャー,8,130,70,35,70,35,60
0321-000,321,0,ホエルオー,,ホエルオー,うきくじらポケモン,398.0,14.5,みず,,みずのベール,どんかん,プレッシャー,8,170,90,45,90,45,60
0322-000,322,0,ドンメル,,ドンメル,どんかんポケモン,24.0,0.7,ほのお,じめん,どんかん,たんじゅん,マイペース,9,60,60,40,65,45,35
0323-000,323,0,バクーダ,,バクーダ,ふんかポケモン,220.0,1.9,ほのお,じめん,マグマのよろい,ハードロック,いかりのつぼ,9,70,100,70,105,75,40
0323-001,323,1,バクーダ,メガバクーダ,メガバクーダ,ふんかポケモン,320.5,2.5,ほのお,じめん,ちからずく,いかりのつぼ,,7,70,100,70,105,75,40
0324-000,324,0,コータス,,コータス,せきたんポケモン,80.4,0.5,ほのお,,しろいけむり,ひでり,シェルアーマー,9,70,85,140,85,70,20
0325-000,325,0,バネブー,,バネブー,とびはねポケモン,30.6,0.7,エスパー,,あついしぼう,マイペース,くいしんぼう,9,60,25,35,70,80,60
0326-000,326,0,ブーピッグ,,ブーピッグ,あやつりポケモン,71.5,0.9,エスパー,,あついしぼう,マイペース,くいしんぼう,9,80,45,65,90,110,80
0327-000,327,0,パッチール,,パッチール,ぶちパンダポケモン,5.0,1.1,ノーマル,,マイペース,ちどりあし,あまのじゃく,8,60,60,60,60,60,60
0328-000,328,0,ナックラー,,ナックラー,ありじごくポケモン,15.0,0.7,じめん,,かいりきバサミ,ありじごく,ちからずく,9,45,100,45,45,45,10
0329-000,329,0,ビブラーバ,,ビブラーバ,しんどうポケモン,15.3,1.1,じめん,ドラゴン,ふゆう,,,9,50,70,50,50,50,70
0330-000,330,0,フライゴン,,フライゴン,せいれいポケモン,82.0,2.0,じめん,ドラゴン,ふゆう,,,9,80,100,80,80,80,100
0331-000,331,0,サボネア,,サボネア,サボテンポケモン,51.3,0.4,くさ,,すながくれ,ちょすい,,9,50,85,40,85,40,35
0332-000,332,0,ノクタス,,ノクタス,カカシぐさポケモン,77.4,1.3,くさ,あく,すながくれ,ちょすい,,9,70,115,60,115,60,55
0333-000,333,0,チルット,,チルット,わたどりポケモン,1.2,0.4,ノーマル,ひこう,しぜんかいふく,ノーてんき,,9,45,40,60,40,75,50
0334-000,334,0,チルタリス,,チルタリス,ハミングポケモン,20.6,1.1,ドラゴン,ひこう,しぜんかいふく,ノーてんき,,9,75,70,90,70,105,80
0334-001,334,1,チルタリス,メガチルタリス,メガチルタリス,ハミングポケモン,20.6,1.5,ドラゴン,フェアリー,フェアリースキン,ノーてんき,,7,75,70,90,70,105,80
0335-000,335,0,ザングース,,ザングース,ネコイタチポケモン,40.3,1.3,ノーマル,,めんえき,どくぼうそう,,9,73,115,60,60,60,90
0336-000,336,0,ハブネーク,,ハブネーク,キバへびポケモン,52.5,2.7,どく,,だっぴ,すりぬけ,,9,73,100,60,100,60,65
0337-000,337,0,ルナトーン,,ルナトーン,いんせきポケモン,168.0,1.0,いわ,エスパー,ふゆう,,,8,90,55,65,95,85,70
0338-000,338,0,ソルロック,,ソルロック,いんせきポケモン,154.0,1.2,いわ,エスパー,ふゆう,,,8,90,95,85,55,65,70
0339-000,339,0,ドジョッチ,,ドジョッチ,ひげうおポケモン,1.9,0.4,みず,じめん,どんかん,きけんよち,うるおいボディ,9,50,48,43,46,41,60
0340-000,340,0,ナマズン,,ナマズン,ひげうおポケモン,23.6,0.9,みず,じめん,どんかん,きけんよち,うるおいボディ,9,110,78,73,76,71,60
0341-000,341,0,ヘイガニ,,ヘイガニ,ごろつきポケモン,11.5,0.6,みず,,かいりきバサミ,シェルアーマー,てきおうりょく,9,43,80,65,50,35,35
0342-000,342,0,シザリガー,,シザリガー,ならずものポケモン,32.8,1.1,みず,あく,かいりきバサミ,シェルアーマー,てきおうりょく,9,63,120,85,90,55,55
0343-000,343,0,ヤジロン,,ヤジロン,どぐうポケモン,21.5,0.5,じめん,エスパー,ふゆう,,,8,40,40,55,40,70,55
0344-000,344,0,ネンドール,,ネンドール,どぐうポケモン,108.0,1.5,じめん,エスパー,ふゆう,,,8,60,70,105,70,120,75
0345-000,345,0,リリーラ,,リリーラ,ウミユリポケモン,23.8,1.0,いわ,くさ,きゅうばん,よびみず,,8,66,41,77,61,87,23
0346-000,346,0,ユレイドル,,ユレイドル,いわつぼポケモン,60.4,1.5,いわ,くさ,きゅうばん,よびみず,,8,86,81,97,81,107,43
0347-000,347,0,アノプス,,アノプス,むかしエビポケモン,12.5,0.7,いわ,むし,カブトアーマー,すいすい,,8,45,95,50,40,50,75
0348-000,348,0,アーマルド,,アーマルド,かっちゅうポケモン,68.2,1.5,いわ,むし,カブトアーマー,すいすい,,8,75,125,100,70,80,45
0349-000,349,0,ヒンバス,,ヒンバス,さかなポケモン,7.4,0.6,みず,,すいすい,どんかん,てきおうりょく,9,20,15,20,10,55,80
0350-000,350,0,ミロカロス,,ミロカロス,いつくしみポケモン,162.0,6.2,みず,,ふしぎなうろこ,かちき,メロメロボディ,9,95,60,79,100,125,81
0351-000,351,0,ポワルン,ポワルンのすがた,ポワルン,てんきポケモン,0.8,0.3,ノーマル,,てんきや,,,8,70,70,70,70,70,70
0352-000,352,0,カクレオン,,カクレオン,いろへんげポケモン,22.0,1.0,ノーマル,,へんしょく,へんげんじざい,,8,60,90,70,60,120,40
0353-000,353,0,カゲボウズ,,カゲボウズ,にんぎょうポケモン,2.3,0.6,ゴースト,,ふみん,おみとおし,のろわれボディ,9,44,75,35,63,33,45
0354-000,354,0,ジュペッタ,,ジュペッタ,ぬいぐるみポケモン,12.5,1.1,ゴースト,,ふみん,おみとおし,のろわれボディ,9,64,115,65,83,63,65
0354-001,354,1,ジュペッタ,メガジュペッタ,メガジュペッタ,ぬいぐるみポケモン,13.0,1.2,ゴースト,,いたずらごころ,のろわれボディ,,7,64,115,65,83,63,65
0355-000,355,0,ヨマワル,,ヨマワル,おむかえポケモン,15.0,0.8,ゴースト,,ふゆう,おみとおし,,9,20,40,90,30,90,25
0356-000,356,0,サマヨール,,サマヨール,てまねきポケモン,30.6,1.6,ゴースト,,プレッシャー,おみとおし,,9,40,70,130,60,130,25
0357-000,357,0,トロピウス,,トロピウス,フルーツポケモン,100.0,2.0,くさ,ひこう,ようりょくそ,サンパワー,しゅうかく,9,99,68,83,72,87,51
0358-000,358,0,チリーン,,チリーン,ふうりんポケモン,1.0,0.6,エスパー,,ふゆう,,,9,75,50,80,95,90,65
0359-000,359,0,アブソル,,アブソル,わざわいポケモン,47.0,1.2,あく,,プレッシャー,きょううん,せいぎのこころ,8,65,130,60,75,60,75
0359-001,359,1,アブソル,メガアブソル,メガアブソル,わざわいポケモン,49.0,1.2,あく,,マジックミラー,せいぎのこころ,,7,65,130,60,75,60,75
0360-000,360,0,ソーナノ,,ソーナノ,ほがらかポケモン,14.0,0.6,エスパー,,かげふみ,テレパシー,,8,95,23,48,23,48,23
0361-000,361,0,ユキワラシ,,ユキワラシ,ゆきかさポケモン,16.8,0.7,こおり,,せいしんりょく,アイスボディ,ムラっけ,9,50,50,50,50,50,50
0362-000,362,0,オニゴーリ,,オニゴーリ,がんめんポケモン,256.5,1.5,こおり,,せいしんりょく,アイスボディ,ムラっけ,9,80,80,80,80,80,80
0362-001,362,1,オニゴーリ,メガオニゴーリ,メガオニゴーリ,がんめんポケモン,350.2,2.1,こおり,,フリーズスキン,ムラっけ,,7,80,80,80,80,80,80
0363-000,363,0,タマザラシ,,タマザラシ,てたたきポケモン,39.5,0.8,こおり,みず,あついしぼう,アイスボディ,どんかん,8,70,40,50,55,50,25
0364-000,364,0,トドグラー,,トドグラー,たままわしポケモン,87.6,1.1,こおり,みず,あついしぼう,アイスボディ,どんかん,8,90,60,70,75,70,45
0365-000,365,0,トドゼルガ,,トドゼルガ,こおりわりポケモン,150.6,1.4,こおり,みず,あついしぼう,アイスボディ,どんかん,8,110,80,90,95,90,65
